latitude,longitude,acq_date,brightness,frp,confidence
-12.8737,136.1995,2019-10-16,332.7,60.5,67
-12.982,133.8841,2019-07-23,320.1,118.0,65
-11.6685,130.7539,2019-06-20,326.8,20.8,42
-37.4099,147.4818,2020-01-31,323.1,50.3,100
-32.5662,150.3079,2019-12-06,316.6,33.4,94
-16.2215,136.9706,2019-08-23,348.2,46.7,92
-31.3351,151.3232,2019-12-20,331.3,47.1,75
-21.6824,119.186,2019-06-02,311.6,49.5,36
-31.5333,146.4933,2019-12-18,312.4,15.2,85
-31.9878,147.0452,2019-06-04,302.8,4.7,54
-32.6632,150.4356,2019-12-19,335.5,26.2,52
-35.6772,149.8692,2020-01-03,356.9,96.3,98
-31.1106,152.5887,2019-11-21,325.8,14.1,49
-30.8265,123.4443,2019-12-29,345.7,35.3,87
-27.5221,150.0132,2019-11-06,333.1,46.6,73
-18.3784,143.8956,2019-12-20,341.7,223.8,84
-14.497,126.4147,2019-06-12,331.6,37.9,81
-15.7265,131.257,2019-10-22,341.2,23.6,60
-14.1751,132.9997,2019-06-22,312.0,10.3,57
-13.1005,135.0004,2019-07-10,344.7,81.4,92
-14.1593,130.638,2019-08-02,363.1,390.4,100
-30.993,152.2556,2019-11-01,306.9,8.6,37
-31.8001,151.8689,2020-01-04,326.1,20.4,100
-11.4282,131.1645,2019-07-02,315.7,13.6,62
-30.2803,150.2396,2019-10-19,365.6,245.8,100
-42.1832,147.0392,2019-10-31,340.9,166.5,48
-29.9021,152.1184,2019-12-06,349.7,75.8,93
-31.6149,152.118,2019-12-31,311.2,17.4,61
-14.952,130.3578,2019-07-20,333.6,93.8,77
-20.0568,139.623,2020-02-16,322.7,32.0,100
-11.6666,142.515,2019-11-24,345.8,41.3,91
-12.5398,135.2094,2019-10-21,341.5,35.4,85
-29.1634,151.637,2019-11-08,429.6,1183.9,100
-36.4304,147.7132,2020-01-04,329.6,16.8,74
-12.7563,141.8061,2019-09-16,321.5,21.9,56
-14.3521,126.5015,2019-11-27,331.0,41.7,52
-31.1837,152.5303,2019-11-12,348.0,48.1,93
-33.2056,150.0838,2019-12-21,348.6,144.6,100
-16.3353,141.5754,2019-12-02,366.5,128.3,100
-31.5664,152.0434,2019-12-10,305.3,6.5,64
-37.0519,147.3678,2020-01-03,326.6,25.5,73
-16.5178,136.8643,2019-08-22,326.5,54.3,64
-18.2485,142.5232,2019-10-01,320.5,17.9,87
-33.3687,150.2972,2019-12-09,326.3,143.1,100
-16.6194,137.8593,2019-12-23,334.2,56.9,100
-12.5852,132.764,2019-09-11,340.3,159.1,100
